FOLIO;CURP;NOMBRE COMPLETO;CARRERA ASIGNADA;PLANTEL
216102468;VMQQ729923MQTPYOH0;MIGUEL ALEJANDRO ARRIAGA CERVERA;TÉC. EN INFORMÁTICA;ISLA MUJERES
211003875;BGMI501929MDFLMC16;MIGUEL PAOLA ALMEIDA NIC;TÉC. EN TURISMO;FELIPE CARRILLO PUERTO
210690645;TZIR146634HTSMUP3B;ROBERTO ANGEL CERVERA PEREZ;TÉC. EN ENFERMERÍA;COZUMEL
217464174;OZRG976374HMNRBHER;ROBERTO SHERLIN NIC AKE;TÉC. EN INFORMÁTICA;FELIPE CARRILLO PUERTO
212251925;GBAW166827MGRLHCF2;MARIA ANTONIO ALMEIDA YAM;TÉC. EN INFORMÁTICA;BENITO JUÁREZ
210752649;TYLV079894MQTFSQE7;BRIANA ANGEL PANTI NIC;TÉC. EN ENFERMERÍA;COZUMEL
210651992;IUMS488450HQTQXJ9X;EMANUEL FELIPE ALMEIDA CERVERA;TÉC. EN INFORMÁTICA;COZUMEL
218399952;SKFX549087HSRUOXXW;ROBERTO ANGEL AKE PEREZ;TÉC. EN ELECTRICIDAD;TULUM
210388960;NFZD380155MPLJAVNY;EMANUEL PAOLA YAM NIC;TÉC. EN INFORMÁTICA;BENITO JUÁREZ
212139828;DDKH986887MSPRNRQT;EMANUEL ALEJANDRO ALMEIDA PEREZ;TÉC. EN TURISMO;COZUMEL
218370833;TYWI226783HTCKCI5P;EMANUEL SHERLIN YAM AKE;TÉC. EN ELECTRICIDAD;OTHÓN P. BLANCO
216785174;SUKG592926HGTYJUT2;CHRISTOPHER ISABEL ALMEIDA NIC;TÉC. EN ELECTRICIDAD;ISLA MUJERES
218261158;RUZB000218HBSFWKBK;ROBERTO SHERLIN AKE ARRIAGA;TÉC. EN TURISMO;LÁZARO CÁRDENAS
214842787;JPKM516750HSPQZPXD;ELENA SHERLIN CERVERA PANTI;TÉC. EN INFORMÁTICA;SOLIDARIDAD
217270668;LMTK724140MPLHRGF1;ROBERTO ANGEL ALMEIDA ARRIAGA;TÉC. EN TURISMO;PUERTO MORELOS
210363243;HHZO590212HTSDVI1Q;BRIANA ALEJANDRO ARRIAGA AREVALO;TÉC. EN TURISMO;COZUMEL
214044222;KJRI206476HPLGMYNX;CHRISTOPHER PAOLA YAM AREVALO;TÉC. EN ENFERMERÍA;ISLA MUJERES
215312797;QZXL511409MCMCHQTZ;BRIANA ISABEL ARRIAGA AREVALO;TÉC. EN ELECTRICIDAD;LÁZARO CÁRDENAS
214085753;FMSB137730MTLRIS7E;ROBERTO PAOLA PANTI AKE;TÉC. EN TURISMO;FELIPE CARRILLO PUERTO
